timestamps,TP9,AF7,AF8,TP10
1623120417.996,-203.125,-34.180,-58.594,-195.312
1623120418.000,-1000.000,-40.527,-75.195,-1000.000
1623120418.004,-26.367,-20.996,7.812,-80.078
1623120418.006,-810.547,-11.230,55.176,-945.312
1623120418.010,162.109,-23.438,-18.066,226.074
1623120418.014,-1000.000,-38.574,-86.426,-1000.000
1623120418.018,-358.887,-22.949,-23.438,-468.262
1623120418.022,-884.277,-0.488,55.176,896.973
1623120418.026,484.375,-12.695,-2.441,596.191
1623120418.030,-1000.000,-33.203,-92.773,-802.246
1623120418.033,-695.312,-17.090,-48.828,-753.906
1623120418.037,793.945,4.883,32.715,618.164
1623120418.041,839.844,-4.883,7.324,848.633
1623120418.045,-594.727,-33.691,-75.195,-470.703
1623120418.049,-1000.000,-38.574,-71.777,-983.398
1623120418.067,309.082,-15.137,9.766,246.094
1623120418.071,-890.625,-3.906,29.785,-969.238
1623120418.075,-108.887,-24.902,-46.387,-90.820
1623120418.079,-1000.000,-40.527,-83.496,-1000.000
1623120418.083,-106.934,-18.555,-14.160,-162.109
1623120418.087,-809.082,-4.395,36.133,-955.566
1623120418.091,238.770,-25.391,-26.855,318.359
1623120418.094,-1000.000,-41.504,-91.797,-1000.000
1623120418.098,-427.734,-28.320,-36.133,-542.480
1623120418.102,-933.594,-5.371,38.086,843.262
1623120418.106,571.289,-11.230,-0.488,639.160
1623120418.110,-938.965,-43.457,-85.449,-753.906
1623120418.111,-763.672,-38.086,-62.012,-811.523
1623120418.115,707.520,0.977,28.320,537.598
1623120418.119,925.293,5.859,22.949,897.949
1623120418.123,-459.961,-21.973,-65.918,-384.277
1623120418.127,-1000.000,-37.109,-85.449,-1000.000
1623120418.131,205.566,-17.090,-1.953,155.762
1623120418.135,-856.934,-8.301,24.414,-951.172
1623120418.138,-26.855,-39.062,-58.594,-0.488
1623120418.142,-1000.000,-56.641,-104.492,-1000.000
1623120418.146,-183.594,-31.738,-33.203,-249.512
1623120418.150,-819.336,-7.324,37.598,-987.305
1623120418.154,311.523,-22.949,-23.926,408.203
1623120418.156,-1000.000,-41.992,-97.168,-957.031
1623120418.160,-488.770,-32.715,-39.062,-600.586
1623120418.164,-985.840,-16.113,41.016,788.574
1623120418.168,649.414,-26.855,-4.395,714.355
1623120418.172,-845.703,-51.270,-94.238,-662.598
1623120418.176,-845.703,-43.457,-78.125,-858.887
1623120418.180,600.098,-15.137,16.113,467.773
1623120418.183,981.934,-16.602,25.391,937.500
1623120418.187,-362.793,-40.039,-78.125,-312.500
1623120418.191,-1000.000,-39.062,-88.867,-1000.000
1623120418.195,108.398,-18.555,10.254,77.637
1623120418.199,-830.566,-13.184,28.320,-935.547
1623120418.201,53.223,-32.227,-45.410,92.285
1623120418.205,-1000.000,-43.457,-79.590,-1000.000
